,Filter Configuration,No. of Attrib,Threshold,Spam Recall,Spam Precision,Weighted Accuracy,Weighted Error,baseline W.Acc,baseline W.Err,TCR
109,lemm_stop,450,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
110,lemm_stop,450,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
111,lemm_stop,500,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
112,lemm_stop,500,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
113,lemm_stop,500,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
114,lemm_stop,550,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
115,lemm_stop,550,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
116,lemm_stop,550,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
117,lemm_stop,600,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
118,lemm_stop,600,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
119,lemm_stop,600,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
120,lemm_stop,650,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
121,lemm_stop,650,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
122,lemm_stop,650,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
123,lemm_stop,700,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
124,lemm_stop,700,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
125,lemm_stop,700,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
126,stop,50,0.5,100.0,12.087475149105368,21.5679318907414,78.43206810925861,78.43206810925861,21.5679318907414,0.2749886928991407
127,stop,50,0.9,100.0,12.087475149105368,13.252539343476174,86.74746065652383,86.74746065652383,13.252539343476174,0.15277149605507814
128,stop,50,0.999,100.0,12.087475149105368,12.098110903860212,87.90188909613978,87.90188909613978,12.098110903860212,0.13763197842799832
129,stop,100,0.5,100.0,12.087475149105368,21.5679318907414,78.43206810925861,78.43206810925861,21.5679318907414,0.2749886928991407
130,stop,100,0.9,100.0,12.087475149105368,13.252539343476174,86.74746065652383,86.74746065652383,13.252539343476174,0.15277149605507814
131,stop,100,0.999,100.0,12.087475149105368,12.098110903860212,87.90188909613978,87.90188909613978,12.098110903860212,0.13763197842799832
